Sample,midx,midy,midz,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,minzone,alteration,Ai
S-549,1908.35,3813.19,3986.57,0.37,0.03,0.7,0.06,0.93,27.39,6.85,18.43,11.41,0.58,6.75,1.56,0.03,0.04,2.58,SSF,POT,0.16
S-6,1786.55,3902.43,4194.77,0.75,0.03,0.67,0.03,0.88,30.86,7.02,22.75,6.52,1.79,6.52,2.33,0,0.02,2.57,SSF,POT,0.22
S-491,3239.35,3737.41,4076.44,0.04,0,0.4,1.11,0.01,30.88,22.64,20.54,2.08,0.42,5.51,0.39,0.07,2.88,2.67,PRI,POT,0.45
S-106,3646.31,3814.27,4290.75,0.35,0.05,1.37,0.45,0.23,32.72,16.3,28.26,5.31,0.68,4.56,3.01,0.11,0.02,2.55,SSF,POT,0.24
S-99,2261.81,3795.41,4011.77,0.37,0.05,0.86,0.7,0.03,21.72,26.67,36.52,2.14,0.57,6.06,0.38,0.05,0.08,2.49,SSF,POT,0.25
S-327,3200.02,3625.77,4112.93,0.01,0,1.27,0.45,0.05,28.09,17.64,17.28,3.73,0.57,4.92,1.12,0.07,4.2,2.68,PRI,POT,0.51
S-453,3029.6,3827.95,4143.15,0.02,0,0.85,0.34,0.01,24.54,17.53,25.87,1.14,0.52,6.51,0.47,0.09,2.32,2.67,PRI,POT,0.43
S-658,2828.25,3649.36,3970.01,0.02,0.01,0.47,0.51,0.02,21.59,15.14,30.52,2.73,0.64,8.06,1.02,0.15,4.74,2.69,PRI,POT,0.34
S-1172,3483.11,3173.88,4162.25,0.000638327,7.39E-05,1.434860846,0.000646851,2.7545141,19.28553331,0.803905281,1.256470042,2.913766765,0.50651432,17.00998867,3.187248349,0.033222691,0.07821931,2.77,SSD,CLO-SER,0.3
S-295,3417.49,3385.05,4219.5,0,0,1.61,0.01,1.46,28.2,7.07,21.04,12.24,0.27,3.13,1.59,0.22,5.09,2.67,SSF,POT,0.37
S-279,1958.96,3589.29,3950.16,0.34,0.06,0.94,0.15,0.05,28.25,8.9,22.36,11.55,0.74,8.3,1.84,0.41,0.13,2.58,SSF,POT,0.25
S-737,3007.51,4022.68,4070.52,0.02,0,0.44,0.01,0.02,20.46,15.48,19.28,1.34,1.29,5.4,1.43,0.04,0.92,,PRI,POT,0.33
S-630,3139.19,3776.48,4110.95,0.09,0.01,0.81,0.83,0.06,28.12,22.66,25.6,2.75,0.56,4.73,0.59,0.06,1.07,2.58,SSF,POT,0.42
S-641,2920.23,3606.3,3954.07,0.03,0,1.51,0.67,0.12,20.23,21.67,24.16,3.52,0.43,5.25,1.24,0.06,3.3,2.68,PRI,POT,0.36
S-1114,3183.35,4164.77,4344.53,0.014122628,0.002541154,1.162250092,0.176459648,0.023520558,21.55511819,11.63555194,16.24585275,2.464842432,0.463513656,6.883669584,0.930215491,0.034103454,5.086227701,,SSD,POT,0.49
S-1180,3305.51,3736.95,4013.4,0.102199894,0.001411382,0.249488591,0.726682385,0.006755479,24.80134256,20.16883839,22.18307015,1.768805171,0.347256952,5.645702585,0.656150248,0.029976732,3.888337809,2.66,PRI,POT,0.56
S-580,4062.99,3895.88,4446.89,0.56,0.04,1.32,0.11,1.08,28.4,4.73,32.42,15.98,0.47,6.13,1.59,0.02,0.05,2.59,SSF,POT,0.09
S-120,3610.04,3959.34,4254.85,0.04,0,0.84,0.23,0.27,27.75,17.9,26.46,2.34,0.73,6.87,1.89,0.07,3.73,2.68,PRI,POT,0.54
S-1233,2860.03,3385.01,3848.2,0.04,0,0.38,2.11,0.01,30,24.52,18.9,4.39,0.14,3.45,0.82,0.05,6.89,2.66,PRI,POT,0.47
S-263,3337.31,4092.34,4421.65,0.16,0.06,0.51,0.14,0.02,28.51,20.51,21.03,1.49,0.55,3.28,0.96,0.03,0.02,2.55,SSF,POT,0.32
S-421,2788.26,3862.81,4124.29,0.17,0.02,0.87,0.19,0.19,23.66,14.85,27.9,4.16,0.98,6.17,0.91,0.02,0.04,2.55,SSF,POT,0.26
S-552,2333.99,3785.32,3946.43,0.01,0,0.7,0.38,0.42,19.31,24.15,36.7,2.55,0.22,5.3,0.36,0.03,5.65,2.66,PRI,POT,0.3
