Sample,midx,midy,midz,East,North,elevation,Chalcocite-Digenite,Covellite,Chalcopyrite,Bornite,Pyrite,Enargite,Sphalerite,Quartz,K-Feldspar,Albite,Muscovite/Sericite,Clays,Biotite,Chlorite,Calcite,Gypsum/Anhydrite,SG,lithology,minzone,alteration,Ai
S-581,3323,3844.91,4088.05,3323,3844.91,4088.05,0.03,0.01,0.87,0.28,0.17,0,0.01,24.24,20.87,26.17,1.38,0.36,4.05,0.45,0.06,2.52,2.66,porphyry,PRI,POT,0.5
S-582,3282.79,3791.52,4048.43,3282.79,3791.52,4048.43,0.04,0.01,0.53,0.83,0.05,0,0.01,22.08,29.61,31.85,1.5,0.64,7.21,0.65,0.1,2.71,2.66,porphyry,PRI,POT,0.44
S-583,3232.34,3762.83,4030.65,3232.34,3762.83,4030.65,0.03,0,0.36,1.38,0.01,0,0.01,30.82,20.99,23.75,1.55,0.3,5.52,0.55,0.12,3.11,2.64,porphyry,PRI,POT,0.48
S-584,2883.73,3750.78,4011.89,2883.73,3750.78,4011.89,0.04,0,0.9,0.4,0.34,0,0.01,39.74,14.78,21.23,3.64,0.67,3.57,0.9,0.08,2.49,2.7,porphyry,PRI,POT,0.43
S-585,2734.47,3681.01,3975.18,2734.47,3681.01,3975.18,0.01,0,0.98,0.18,0.52,0,0.01,25.04,18.05,28.16,4.36,0.89,4.57,0.88,0.1,2.65,2.65,porphyry,PRI,POT,0.38
S-586,2651.63,3504.09,3927.9,2651.63,3504.09,3927.9,0.01,0,0.69,0.68,0.29,0,0.01,24.99,16.2,19.41,1.35,0.05,7.76,0.76,0.04,2.67,2.65,porphyry,PRI,POT,0.35
S-587,2456.27,3851.12,3961.22,2456.27,3851.12,3961.22,0.02,0,0.68,0.26,0.24,0,0.01,20.73,17.66,28.27,2.59,0.57,8.1,0.6,0.18,4.41,2.65,porphyry,PRI,POT,0.37
S-588,2635.4,3765.57,3956.15,2635.4,3765.57,3956.15,0.02,0,0.41,0.82,0.85,0,0.01,24.82,15.11,31.1,1.98,0.66,5.94,0.53,0.04,4.14,2.66,porphyry,PRI,POT,0.39
S-589,2588.11,3696.56,3938.06,2588.11,3696.56,3938.06,0.22,0,1.41,0.06,3.21,0,0.01,27.18,8.5,38.26,11.72,0.12,3.04,1.5,0.06,0.05,2.66,porphyry,PRI,POT,0.33
S-590,2747.27,3686.11,3932.04,2747.27,3686.11,3932.04,0.01,0,1.15,0.34,0.08,0,0.01,24.34,17.92,36.39,2.27,0.21,4.35,0.62,0.05,5.68,2.63,porphyry,PRI,POT,0.4
