Chalcocite-Digenite,K-Feldspar,minzone,alteration,Ai
0.04,4.49,SSF,POT,0.22
0.01,17.3,PRI,POT,0.26
0.01,18.18,SSD,POT,0.25
0.76,8.02,SSF,POT,0.24
0.8,6.44,SSF,POT,0.22
0.59,4.1,SSF,POT,0.2
0.12,6.4,SSF,POT,0.19
0.1,9.68,SSF,POT,0.23
0.06,14.87,PRI,POT,0.36
0.01,22.66,SSD,POT,0.4
0.15,17.86,SSF,POT,0.42
0.79,18.07,SSF,POT,0.35
0.4,7.01,SSF,POT,0.2
0.01,16.25,PRI,POT,0.37
0.67,8.55,SSF,POT,0.23
0.79,4.01,SSF,POT,0.13
0.9,4.63,SSF,POT,0.16
0.111597532,23.63,PRI,POT,0.38
0.24,7.3,SSF,AR,0.08
0.21,18.75,SSF,POT,0.31
0.41,14.91,SSF,POT,0.23
0.37,6.85,SSF,POT,0.16
0.75,7.02,SSF,POT,0.22
0.04,22.64,PRI,POT,0.45
0.35,16.3,SSF,POT,0.24
0.37,26.67,SSF,POT,0.25
0.01,17.64,PRI,POT,0.51
0.02,17.53,PRI,POT,0.43
0.02,15.14,PRI,POT,0.34
0.000638327,0.803905281,SSD,CLO-SER,0.3
0,7.07,SSF,POT,0.37
0.34,8.9,SSF,POT,0.25
0.02,15.48,PRI,POT,0.33
0.09,22.66,SSF,POT,0.42
0.03,21.67,PRI,POT,0.36
0.014122628,11.63555194,SSD,POT,0.49
0.102199894,20.16883839,PRI,POT,0.56
0.56,4.73,SSF,POT,0.09
0.04,17.9,PRI,POT,0.54
0.04,24.52,PRI,POT,0.47
0.16,20.51,SSF,POT,0.32
0.17,14.85,SSF,POT,0.26
0.01,24.15,PRI,POT,0.3
0.243301136,3.78,SSF,POT,0.32
0.61,6.97,SSF,POT,0.24
0.9,3.54,SSF,AR,0.12
0.14,17.37,SSF,POT,0.29
0.02,15.27,PRI,POT,0.36
0.39,18.02,SSF,POT,0.25
0.005203551,1.78,SSD,POT,0.18
0.01,18.05,PRI,POT,0.38
0.01,14.08,PRI,POT,0.34
0.11,17.7,SSF,POT,0.31
0.05,17.67,PRI,POT,0.36
0.34,9.93,SSF,POT,0.21
0.001234408,7.33,SSD,POT,0.31
0.002023639,2.78,SSD,CLO-SER,0.24
0.2,16.05,SSF,POT,0.35
0.27,9.58,SSF,POT,0.22
0.001263699,4.74,SSD,CLO-SER,0.69
0,2.46,SSF,CLO-SER,0.12
0.005260902,17.22,PRI,POT,0.49
0.02,16.46,PRI,POT,0.44
0.03,20.13,PRI,POT,0.4
0.107142004,5.46,SSF,POT,0.34
0,17.01,PRI,POT,0.36
0.09,14.79,SSF,POT,0.11
0.02,9.46,PRI,CLO-SER,0.21
0.21,14.05,SSF,POT,0.24
0.11,19.3,SSF,POT,0.37
1.02,8.12,SSF,POT,0.18
0.07,14.03,SSF,POT,0.28
0.128660524,6.22,SSF,POT,0.23
0.037293983,17.12452482,PRI,POT,0.41
0.22,14.22,SSF,POT,0.34
0.01,16.2,PRI,POT,0.35
0.006972682,13.32,PRI,POT,0.48
0.211932686,1.86,SSF,POT,0.2
0.04,20.46,PRI,POT,0.41
0.01,14.04,PRI,POT,0.29
0.01,16.66,PRI,POT,0.38
0.03,20.1,PRI,POT,0.37
0.06,15.51,PRI,POT,0.46
0,6.83,SSD,CLO-SER,0.2
0.00651404,20.4738775,PRI,POT,0.35
0.59,2.37,SSF,POT,0.11
0.029309496,16.42,PRI,POT,0.41
0.00094487,2.3,SSD,CLO-SER,0.14
0.03,19.39,SSF,POT,0.35
0.5,8.37,SSF,POT,0.2
0.25,23.74,SSF,POT,0.25
0.01,18.67,PRI,POT,0.45
0.3,6.91,SSF,POT,0.29
0.9,12.39,SSF,POT,0.19
0.49,16.36,SSF,POT,0.29
0.07,16.5,SSF,POT,0.32
0.37,3.15,SSF,AR,0.1
0,12.44,SSD,POT,0.42
0.01,19.62,PRI,POT,0.32
0,8.17,PRI,POT,0.3
1.04,13.99,SSF,POT,0.18
0.07,22.08,PRI,POT,0.43
0.04,17.42,SSF,POT,0.55
0.03,9.74,PRI,POT,0.22
0.12,9.72,SSF,POT,0.19
0.01,17.92,PRI,POT,0.4
0,1.97,PRI,CLO-SER,0.28
0.03,22.28,PRI,POT,0.54
0.722652876,16.74,SSF,POT,0.21
0.375675267,5.04,SSF,POT,0.27
0.78,9.8,SSF,POT,0.21
0.01,18.06,PRI,POT,0.37
0.02,19.53,PRI,POT,0.29
0.24,10.39,SSF,POT,0.29
0.032953841,19.22,PRI,POT,0.47
0.01,12.77,PRI,POT,0.4
0.66,2.89,SSF,POT,0.06
0.86,4.37,SSF,POT,0.18
0.007000298,18.6719077,PRI,POT,0.45
0.23,15.55,SSF,POT,0.23
0.33,16.05,SSF,POT,0.2
0.01,8.58,PRI,CLO-SER,0.39
0.02,14.02,PRI,POT,0.39
0.024553543,20.62,PRI,POT,0.41
0.03,15.41,PRI,POT,0.35
0.45,3.05,SSF,POT,0.15
0.43,2.97,SSF,POT,0.17
0.18,8.86,SSF,POT,0.22
0.01,21.16,PRI,POT,0.38
0.2,15.74,SSF,POT,0.31
0.02,2.23,SSF,AR,0.13
0.005256862,3.9,PRI,AR,0.41
0.5,5.65,SSF,POT,0.16
0,6.03,PRI,POT,0.34
0.02,15.92,PRI,POT,0.51
0.02,3.98,SSF,POT,0.28
0.24,2.65,SSF,AR,0.1
0.08,16.87,SSF,POT,0.36
0.05,15.75,PRI,POT,0.35
0.15,20.59,SSF,POT,0.22
0.51,2.64,SSF,POT,0.1
0.13,4.08,SSF,POT,0.18
0.02,18.81,PRI,POT,0.39
0.28,5.31,SSF,POT,0.18
0.1,3.68,SSF,POT,0.16
0.05,9.91,SSF,POT,0.23
0.39,10.61,SSF,POT,0.21
0.8,5.62,SSF,POT,0.16
0.39,12.09,SSF,POT,0.29
0.15,10.57,SSF,POT,0.33
0.15,9.31,SSF,POT,0.18
0.25,14,SSF,POT,0.24
0.02,6.61,SSF,POT,0.2
0.37,6.22,SSF,POT,0.09
0.27,13.34,SSF,POT,0.21
0.01,15.08,PRI,POT,0.25
0.97,11.08,SSF,POT,0.21
0.000896384,5.64,PRI,POT,0.32
0.19,8.38,SSF,POT,0.21
0.19,17.45,SSF,POT,0.14
0.37,6.67,SSF,POT,0.24
0.020052193,23.78,PRI,POT,0.46
0.02,18.58,PRI,POT,0.4
0.23,8.96,SSF,POT,0.26
0.01,15.5,PRI,POT,0.37
0.03,20.84,PRI,POT,0.45
0.1,19.94,SSF,POT,0.33
0.02,23.73,PRI,POT,0.43
0.17,24.43,SSF,POT,0.3
0.02,22.87,PRI,POT,0.45
0.02,19.33,PRI,POT,0.24
0.01,18.79,PRI,POT,0.45
0.099271993,4.8,SSF,POT,0.23
0.33,6.04,SSF,POT,0.23
0.48,6.75,SSF,POT,0.18
0.86,8.9,SSF,POT,0.29
0.53,5.98,SSF,POT,0.24
0.011059431,14.96,PRI,POT,0.39
0.16,4.13,SSF,POT,0.21
0.01,11.46,PRI,POT,0.28
0.13,7.99,SSF,POT,0.28
0.001534892,3.87,PRI,POT,0.37
0.005742134,20.03,PRI,POT,0.44
0.21,27.61,SSF,POT,0.15
0.001196993,3.26,SSD,CLO-SER,0.15
0.03,16.41,PRI,POT,0.4
0.65,8.24,SSF,POT,0.26
0.02,14.47,PRI,POT,0.36
0.04,14.78,PRI,POT,0.43
0.74,6.83,SSF,POT,0.15
0.002609524,39.36,PRI,POT,0.41
0.014891793,25.93,PRI,POT,0.46
0.04,16.24,PRI,POT,0.41
0.4,19.81,SSF,POT,0.26
0.14,19.37,PRI,POT,0.42
0,6.02,PRI,CLO-SER,0.21
0.03,14.33,SSF,POT,0.13
0.02,16.99,PRI,POT,0.36
0.007467727,5.17,SSD,CLO-SER,0.27
0.01,17.21,PRI,POT,0.42
0.2,11.9,SSF,POT,0.25
0.704190257,18.57,SSF,POT,0.25
0.022848088,24.62,PRI,POT,0.39
0.010726484,19.42,PRI,POT,0.49
0.12,6.21,SSD,POT,0.13
0.03,17.71,SSD,POT,0.42
0.54,4.77,SSF,POT,0.13
0.04,31.27,PRI,POT,0.47
0.69,10.36,SSF,POT,0.32
0.000826925,11.39,PRI,POT,0.42
0.01,15.6,PRI,POT,0.32
0,9.5,PRI,POT,0.27
0.37,16.18,SSF,POT,0.27
0.06,15.57,SSF,POT,0.33
0.84,6.44,SSF,POT,0.21
0.29,9.87,SSF,POT,0.19
0.007990386,22.52,PRI,POT,0.44
0.13,1.52,SSD,AR,0.15
0.03,18.53,PRI,POT,0.39
0.25,17.56,SSF,POT,0.38
